Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site10,10,2020-01-25,2020-03-01,Feb-20,2020,January;February;March,Feb-20,,Bushnell
UWSS,Site10,10,2020-03-01,2020-04-26,Apr-20,2020,March;April,Apr-20,,Bushnell
UWSS,Site10,10,2020-04-26,2020-05-02,May-20,2020,April;May,May-20,,Bushnell
UWSS,Site10,10,2020-05-30,2020-06-11,Jun-20,2020,May;June;July,Jun-20,,Bushnell
UWSS,Site10,10,2020-07-08,2020-08-04,Jul-20,2020,July;August,Jul-20,,Bushnell
UWSS,Site10,10,2020-08-04,2020-10-15,Oct-20,2020,August;September;October,Oct-20,,Bushnell
UWSS,Site10,10,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site10a,10a,2021-03-27,2021-06-01,May-21,2021,March;April;May;June,May-21,,Bushnell
UWSS,Site10a,10a,2021-06-01,2021-08-01,Jul-21,2021,June;July;August,Jul-21,,Bushnell
UWSS,Site10a,10a,2021-08-01,2021-08-06,Aug-21,2021,August,Sep-21,Full,Bushnell
UWSS,Site10a,10a,2021-09-01,2021-09-05,Oct-21,2021,September,Oct-21,Dead,Bushnell
UWSS,Site10b,10b,2022-08-14,2022-08-20,Aug-22,2022,August,Aug-22,,Browning
UWSS,Site10b,10b,2022-08-20,2022-10-02,Sep-22,2022,August;September;October,Sep-22,,Browning
,,,,,,,,,,
UWSS,Site11,11,2018-08-15,2018-08-25,Aug-18,2018,August,Aug 25th check,,Bushnell
UWSS,Site11,11,2018-08-26,2018-10-08,Sep-18,2018,August;September;October,September Check,,Bushnell
UWSS,Site11,11,2018-10-08,2018-11-18,Oct-18,2018,October;November,October November Check,,Bushnell
UWSS,Site11,11,2018-11-18,2019-12-04,Jan-19,2019,November;December,Jan-19,,Bushnell
UWSS,Site11,11,2019-03-20,2019-03-30,Mar-19,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site11,11,2019-03-30,2019-04-24,Jun-19,2019,March;April,JuneJuly2019,,Bushnell
UWSS,Site11,11,2019-06-30,2019-09-15,Sep-19,2019,June;July;August;September,SeptoNov2019,,Bushnell
UWSS,Site11,11,2019-09-15,2019-12-29,Dec-19,2019,September;October;November;December,Dec-19,,Bushnell
UWSS,Site11,11,2019-12-29,2020-01-25,Jan-20,2020,December;January,Jan-20,,Bushnell
UWSS,Site11,11,2020-01-25,2020-02-29,Feb-20,2020,January;February,Feb-20,,Bushnell
UWSS,Site11,11,2020-03-01,2020-03-23,Apr-20,2020,March,Apr-20,wrong date,Bushnell
