"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","year","SiteID"
"98","12-Oct-19","16:48:39",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:39,2012,"Site03"
"99","12-Oct-19","16:48:39",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:39,2012,"Site03"
"100","12-Oct-19","16:48:40",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:40,2012,"Site03"
"101","12-Oct-19","23:07:46",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:07:46,2012,"Site03"
"102","12-Oct-19","23:07:47",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:07:47,2012,"Site03"
"103","12-Oct-19","23:08:15",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:08:15,2012,"Site03"
"104","12-Oct-19","23:08:15",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:08:15,2012,"Site03"
"105","12-Oct-19","23:08:16",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:08:16,2012,"Site03"
"106","12-Oct-19","23:09:29",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:09:29,2012,"Site03"
"107","12-Oct-19","23:09:30",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:09:30,2012,"Site03"
"108","12-Oct-19","23:09:31",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 23:09:31,2012,"Site03"
"109","13-Oct-19","8:46:19",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 08:46:19,2013,"Site03"
"110","13-Oct-19","8:46:20",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 08:46:20,2013,"Site03"
"111","13-Oct-19","9:07:24",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 09:07:24,2013,"Site03"
"112","13-Oct-19","9:07:25",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 09:07:25,2013,"Site03"
"113","13-Oct-19","21:43:14",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 21:43:14,2013,"Site03"
"114","13-Oct-19","21:43:14",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 21:43:14,2013,"Site03"
"115","13-Oct-19","21:43:15",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-13 21:43:15,2013,"Site03"
"116","14-Oct-19","3:31:50",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:31:50,2014,"Site03"
"117","14-Oct-19","3:31:51",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:31:51,2014,"Site03"
"118","14-Oct-19","3:31:52",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:31:52,2014,"Site03"
"119","14-Oct-19","3:33:11",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:33:11,2014,"Site03"
"120","14-Oct-19","3:33:12",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:33:12,2014,"Site03"
"121","14-Oct-19","3:33:13",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:33:13,2014,"Site03"
"122","14-Oct-19","3:54:33",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:33,2014,"Site03"
"123","14-Oct-19","3:54:34",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:34,2014,"Site03"
"124","14-Oct-19","3:54:34",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:34,2014,"Site03"
"125","14-Oct-19","3:54:45",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:45,2014,"Site03"
"126","14-Oct-19","3:54:46",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:46,2014,"Site03"
"127","14-Oct-19","3:54:47",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:47,2014,"Site03"
"128","14-Oct-19","3:54:59",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:54:59,2014,"Site03"
"129","14-Oct-19","3:55:00",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-14 03:55:00,2014,"Site03"
